movie_title,rating,helpful,total,date,title,review
Blades of Glory,6,1,2,1 February 2014," Figure skating may be beyond parody
","Jimmy MacElroy (Jon Heder) was picked out of an orphanage at the age of 4 to train to skate with the money and obsession of Darren MacElroy (William Fichtner). Chazz Michael Michaels (Will Ferrell) is a renegade rocker figure skater from the Detroit undergrounds. At the Olympics, they tie for first. When they get on the podium, they fight and get banned for life. It's 3 and a half years later. Jimmy has been left on the side of the road by Darren and is toiling away in a sporting goods store. Chazz is drunker than ever skating in a kids show. Then they realize there is a loophole allowing them to skate in another category. After watching them fight again, Coach (Craig T. Nelson) realizes that they make for a great skating pair. They will have to win against the Waldenberg twins skating champs (Will Arnett, Amy Poehler).Will Ferrell is going all out with a way out there character. Jon Heder is lovely and effeminate. The inappropriate Waldenberg twins played by Will Arnett and Amy Poehler get the most fun. Everybody is trying to one up each other. This is an SNL sketch stretched to its limits. The laughs are too few and far between. I appreciate the effort, but it's more wacky than funny."
Horrible Bosses,7,0,1,1 January 2014," Some stupid hilarity
","Three friends have horrible bosses, and try to get rid of them. Nick (Jason Bateman) is in sales hoping for a promotion, but his boss Dave (Kevin Spacey) steals his job for himself. Dale (Charlie Day) has a boss Julia (Jennifer Aniston) who's sexually harassing him. Kurt (Jason Sudeikis) has a nice boss, but he dies and leaves the company to his douche son Bobby (Colin Farrell).It's a bit too serious at times. The stupidity gets a little funny. There are some hilarious moments. Charlie Day's manic idiocy can be very annoying and very funny. Sometimes it's both at the same time. In the end, the guys are just likable enough. The humor is just silly enough. It's a good comedy that breaks out every once in a while."
The Doors,7,4,6,1 May 2016," solid biopic
","It's 1965 L.A. Jim Morrison (Val Kilmer), UCLA film student, meets Pam Courson (Meg Ryan). He quits school and forms The Doors with Ray Manzarek (Kyle MacLachlan), John Densmore (Kevin Dillon), and Robby Krieger (Frank Whaley). They become one of the foremost counter culture rock banks of the era. The band drifts apart as Jim travels a different path with witchy journalist Patricia Kennealy (Kathleen Quinlan). In 1970, he faces charges for exposing himself during a Miami concert. He's living with Pam when he dies in Paris at age 27 in 1971.Director Oliver Stone delivers a solid biopic with his cinematic style to depict the drugged out hippie time and the chaotic nature of the band. Val Kilmer delivers his most impressive performance of his career. The movie could probably add some drama but I'm not sure how exactly. The world is burning down and he's a part of the chaos. His end is predictable for fans and newcomers alike. There may be a dramatic story in there somewhere."
The Polar Express,4,2,6,9 December 2013," Creepy Dead Eyes
",It's the first big attempt at motion capture all CGI animation full length movie. It is commendable of director Robert Zemeckis to attempt such a feat. It is a technological step forward. But the creepy eyes.... the creepy dead eyes.A boy is doubting the reality of Santa. A mysterious train comes to his house. He boards it and finds other kids going to the North Pole. The fact is this is not a very magical voyage. The song and dance isn't that good. There is an air of hollow fake fun in this movie. And that doesn't include the creepy eyes.... The creepy dead eyes.And I didn't really see any magic in the North Pole. It felt more like an old industrial English town. I really wanted more magic for the workshop. And then there were the creepy eyes.... the creepy dead eyes.
Malcolm X,8,2,5,12 June 2015," fascinating figure from a great actor
","During the war years in Boston, Malcolm Little (Denzel Washington) and his friend Shorty (Spike Lee) are zoot suit wearing, hair-straightening negroes about town. His father was a preacher in Nebraska urging a return to Africa and killed by the KKK. His mother was born to a black woman raped by a white man. He is taken by Sophia (Kate Vernon) and gangster West Indian Archie (Delroy Lindo). He leaves his innocent black girlfriend and goes into a life of crime. Malcolm and Shorty are imprisoned for 10 years of hard times. In prison, he is befriended by Baines who introduces him to Elijah Muhammad and the Nation of Islam. He falls in love with Dr. Betty Shabazz (Angela Bassett).Director Spike Lee dives into a fascinating historical figure with the great Denzel Washington. His charisma is perfectly translated and transformed on the screen. That's not to say there are no problems in this movie. The pacing is a little slow at times. I don't want Spike Lee to act in this movie. It's too much of a distraction. Spike does lay out his life very well and leaves it up to audience to some extent on what his life truly means. The movie probably needs somebody with less reverence to be more merciless in the editing room."
Black Mass,7,0,1,4 September 2016," Johnny Depp is back acting
","James 'Whitey' Bulger (Johnny Depp) is a small time Irish mobster in Southie Boston. FBI agent John Connolly (Joel Edgerton), from the neighborhood, recruits Whitey to be an informant through his political brother Billy Bulger (Benedict Cumberbatch). Connolly and his boss Agent Charles McGuire (Kevin Bacon) are trying to bring down the Italian mob in Boston. The loyalty of Connolly is in doubt as McGuire demands more from Whitey who starts to become a powerful gangster.Johnny Depp regains his acting cred. The story is told in a straight forward manner. It's a bit too straight. Connolly is the missing emotional drama element. Edgerton is fine but his character could have been even more epic. In many ways, his character is the mystery and the possible main character study. It's his character that changes throughout the story. It's his character that provides a possible arc. The reveal of his manufacturing of Whitey's information is a dramatic highlight. The question of why is touched on but it could be a whole movie by itself. Connolly would make for a superior main character. That's not saying that the acting from both is anything but top rate."
Nacho Libre,5,0,0,23 December 2015," slightly amusing in a few scenes
","Ignacio (Jack Black) is the cook in a monastery orphanage. Nacho falls in love with the new teacher Sister Encarnación (Ana de la Reguera). He befriends thief Steven (Héctor Jiménez) as they train to be Mexican wrestlers Nacho and Esqueleto.Director Jared Hess of Napoleon Dynamite fame gets a leading comedic talent. It doesn't really work. There are a couple a slightly amusing moments. Jack Black puts on such an unusual mannerism that it doesn't allow the humor to shine. Instead, it's an one-note character that keeps repeating. This seems like a skit character given a full length movie. He's also not that lovable."
The Best Years of Our Lives,8,1,1,10 February 2015," well made timely characters
","Three servicemen return from WWII each facing their own readjustments. Fred Derry (Dana Andrews), Al Stephenson (Fredric March) and Homer Parrish (Harold Russell) get on the same flight. Sailor Homer lost his hands when his ship was sunk. He's modest but is concerned about his fiancÃ©e's true feelings. Everybody walk on egg shells with him. Al returns to his affluent life with his loving wife (Myrna Loy) and their kids Peggy and Rob (Teresa Wright, Michael Hall) but struggles nevertheless. Fred returns to his working class parents to find his wife Marie had moved out to work at a nightclub. The three men run into each other in a bar. Peggy falls for the married Fred.Homer is heart breaking in the very traditional melodramatic way. Al is fascinating in that he has everything and yet he still reconnect. It is well acted with a timely subject matter at the time. It reminds me of the various PTSD movies arising in more modern times. In fact, Fred is suffering from PTSD. I'm sure these characters really hit home for the returning GIs and their families."
The Town,8,9,12,30 November 2013," Jeremy Renner intense
","Four friends Doug MacRay (Ben Affleck), James Coughlin (Jeremy Renner), Albert Magloan (Slaine) and Desmond Elden (Owen Burke) are robbers working the Charlestown neighborhood of Boston. In their latest job, they take the bank manager Claire Keesey (Rebecca Hall) hostage and then let her go. Doug fake dates Claire to make sure she can't ID them. He's also having sex with James' drugged out sister Krista Coughlin (Blake Lively). Meanwhile they are being investigated by the FBI led by Agent Adam Frawley (Jon Hamm).This is a richly character driven crime thriller. Ben Affleck knows these characters well. And acting with the intense Jeremy Renner makes Affleck better. The only actor who looks out of place is Blake Lively. She just can't get rid of that Cali feel and her accent sounds terrible. Brit Rebecca Hall does a better job than her. The action is exciting. And the story is riveting. But it's the characters and the actors that are so engaging."
Underworld Awakening,6,0,3,30 December 2013," Needs Scott Speedman
","It's the near future, and the human world has discover vampires & Lycans. Selene (Kate Beckinsale) and Michael gets captured and stored in frozen captivity. Then 12 years after the Cleansing, Selene is free by another test subject in the lab called Eve (India Eisley) who Selene believes is her and Michael's offspring.The visual look is slightly weaker than the original. But it is a lot of action. It really doesn't stop for much of the last half of the movie. The larger Lycan CGI looks kinda fake. But I still like the action.This one really misses Scott Speedman only because Michael is constantly being referenced. Selene is looking for him throughout the movie. That's why he needs to make a cameo. Maybe he'll return in future installments."
Closer,8,0,1,5 February 2014," Four Great Performances
","Dan (Jude Law), an obituary writer, falls for stripper Alice (Natalie Portman) who is new in London. Later Dan writes a book about Alice, and meets photographer Anna (Julia Roberts). Alice knows she's losing Dan. Dan tricks dermatologist Larry (Clive Owen) on an internet chat, and Larry meets Anna. Larry marries Anna but the wander eye strikes again.Director Mike Nichols is going minimalist with Patrick Marber's play. This is a movie with four incredible performances. Clive Owen is brutal. Natalie Portman is hurt. Jude Law is childish. Julia Roberts is wonderful. They are doing some of their best work here. Don't come for a rom-com. This is emotionally vicious, damaged, pathetic human relationships."
Suicide Squad,6,13,23,26 December 2016," actually OK with lots of annoying little problems
","Amanda Waller (Viola Davis) recruits various criminals from a black site in Louisiana to battle the new unprecedented dangers. June Moone (Cara Delevingne) is an archaeologist who got possessed by a witch named Enchantress. Special forces Rick Flag (Joel Kinnaman) fell in love with her and leads the group. Floyd Lawton (Will Smith) is assassin Deadshot who can't miss. The most important thing in his life is his daughter. George Harkness (Jai Courtney) is Captain Boomerang. Chato Santana is El Diablo but he has turned pacifist. Waylon Jones is Killer Croc. Tatsu Yamashiro is Katana with a soul stealing sword. There is Harley Quinn (Margot Robbie), the psycho love of The Joker (Jared Leto). A powerful danger is unleashed in Midway City and the group is called.This was critically panned by the majority. I expected more of a mess. The story is simple and easy to follow. No doubt, there are some jarring edits with some disjointed flow. It's a little bothersome but it doesn't make it incomprehensible. The movie just keeps hitting speed bumps with annoying little problems. What's with Enchantress' movements? Her whole character is problematic. Why would Harley Quinn go back? Why would Waller kill everyone? There are varying problems in the writing. On the positive side, these are interesting characters well played by skilled actors. Will Smith, Margot Robbie, and Jared Leto are standouts. Joker and Harley Quinn have a great story together. If anything, this shows potential for these characters into the future."
Battleship Potemkin,9,1,3,13 December 2014," A thoroughly modern sequence
","This is based on the mutiny in 1905. Sailors on the battleship Potemkin refuse to eat soup from the rotten meat. The officers order some of men executed. When the firing squad refuse the order, the ship explode in revolution. Their story spread in the port of Odessa. The Cossacks attack the defenseless people of the city. The battleship open fire against the Tsarist forces and then sail to face the fleet. The other ships refuse to fire and join in the revolution.Most of the movie is well-made. The story is simple. It does need a protagonist to break a POV but this is very much a communist film. It's about the people and about the amazing tracking shots on the steps. It looks good even today. It's dynamic and wonderful. It probably took people at the time by surprise. It is a thoroughly modern edited sequence. It also has that baby in the carriage. Wonderful."
Elf,8,1,2,30 November 2013," childlike Ferrell fun
",Orphan Buddy (Will Ferrell) sneaks in Santa (Edward Asner)'s bag and ends up in the North Pole. Papa Elf (Bob Newhart) raises Buddy as an elf. His giantness causes all kinds of problems. Santa allows him to go to New York City to find his birth father Walter Hobbs (James Caan) who is actually on Santa's naughty list. He gets a job at a store and befriends fellow worker Jovie (Zooey Deschanel).Childlike Will Ferrell is giving off so much joy and innocence. He is so silly that it is impossible to not laugh at his slapstick humor. He fully commits and that's what makes it so hilarious. The only minor difficulty lies with James Caan. His personality is way too intense for a wacky comedy. But it picks up whenever he reunites with sweetheart Zooey Deschanel. And he has good fun with his brother Michael. Jon Favreau has created a wacky comedy with a heart.
Taxi Driver,9,2,4,5 September 2013," Disturbing Look into a Disturbed Mind
","Travis Bickle (Robert DeNiro) is a disturbed ex-Marine Vietnam vet. He's suffering from insomnia, and spends his nights driving a cab. He's sexually perverted, and obsessed with Betsy (Cybill Shepherd). On top of it all, he wants to save 12 year old prostitute Iris (Jodie Foster).DeNiro delivered one of the iconic performances of all times. Travis Bickle is one of the standards by which all performances are judged. Martin Scorsese is making a disturbing movie. It can be hard to watch at times. Scorsese uses his camera to maximum effect. As Bickle's mind drift from his co-workers, Scorsese's camera drift into the antacid fizzling in his glass. The grittiness of '70s NY is all there. Jodie Foster is shocking. Trying to watch Bickle can be a very trying experience. It isn't an easy movie. But it is a masterpiece."
Shutter Island,6,5,10,20 June 2014," Didn't like the twist
",It's 1954. U.S. marshal Teddy Daniels (Leonardo DiCaprio) investigates the disappearance of a patient from Boston's Shutter Island Ashecliffe Hospital for the criminally insane. His new partner is Chuck Aule (Mark Ruffalo). His wife Dolores (Michelle Williams) was killed by arsonist Andrew Laeddis. The agents are forced to give up their firearms. Dr. Cawley (Ben Kingsley) is in charge. Rachel Solando is the patient who has disappeared. Her primary doctor Dr. Sheehan left on vacation. Teddy is haunted by vision of the liberation of Dachau. Dr. Naehring (Max von Sydow) refuses to hand over any of the files and a frustrated Teddy vows to leave the next morning.Director Martin Scorsese maximizes the moody atmosphere with the creepy grand Gothic setting and the encompassing storm. The cast is amazing. It's a great stylish noir at the start. It's dark. It's creepy. It has a very weird vibe. There is a twist and it's very unsatisfying. I was buying into the movie but it pulls the rug from under me. It feels like the writer cheated and breaks any connection from the first half. I won't even comment on any believability or reasonableness of the twist. It was well on its way to a great movie. It's a small disappointment of what could have been.
Captain America: The Winter Soldier,8,0,2,1 April 2015," Good variation on the comic book movie
",Steve Rogers (Chris Evans) is still trying adjust to the modern world. He befriends fellow soldier Sam Wilson (Anthony Mackie) who later becomes Falcon. He goes on a mission to rescue hostages but Black Widow (Scarlett Johansson) is more interested in securing intel. He is angry at Nick Fury (Samuel L. Jackson) who is building an armada called Project Insight. Fury uncovers some secrets and is targeted by the mysterious Winter Soldier. He warns Captain America before being killed. Then Captain America is attacked by SHIELD after being questioned by Secretary Alexander Pierce (Robert Redford). Black Widow helps him investigate.This is a good movie whether it's a Marvel movie or a comic book movie. It's got some political espionage thrills. It takes the Marvel universe into darker territories. It advances the plot to an interesting place. The characters get room to move and grow. The action is great and doesn't overwhelm. It's more human-sized. It's a smart action thriller.
Capote,7,1,1,22 August 2015," great performances
","It's 1959. New Yorker writer Truman Capote (Philip Seymour Hoffman) hears about the horrifying murders in Kansas. He and his research assistant Nelle Harper Lee (Catherine Keener) go to write about the crime. Harper Lee gets published. They befriend lead detective Alvin Dewey (Chris Cooper). Then Perry Smith (Clifton Collins Jr.) and Dick Hickock (Mark Pellegrino) are arrested. As Truman digs into the story, he decides to write a new kind of book 'In Cold Blood'.It's an amazing performance from PSH which is only rivaled by a close second from CCJ. Catherine Keener is solid and it's a bit of a shock for novices like me to find Harper Lee working for Capote at that time. It's not a terribly dramatic story but it is a great showcase for the actors. It's worthy Oscar win for PSH."
Life of Pi,8,1,4,9 November 2013," Ang Lee films the unfilmable
","Director Ang Lee adapts the interesting Yann Martel novel. Considering all the big name directors previously attached to the project, he does an admirable job bringing this unfilmable movie to the big screen.Pi Patel lives his childhood in Pondicherry, India with his zoo owning family. Eventually they had to sell their animals to the west, and move to Canada. They travel on a Japanese freighter with the animals. The ship sinks and Pi gets to a lifeboat with a menagerie of animals including a Bengal tiger named Richard Parker.Much has been said of the great CG animals. I don't need to add more to that. The lifeboat scenes look great. Ang Lee has filmed the unfilmable. I do wish the island be more otherworldly to clue in the unrealism of the story. And the island had a more religious overtone in the book which is missing here.I also wish they filmed the real lifeboat with the people characters. A visual depiction would be much more dramatic. The violence could be cut out if they needed to keep the PG rating. In fact the ratings might be why they decided to reduce that section to a simple narration."
Over the Top,4,0,1,21 July 2018," cheese
","Accepting the wishes of his sick ex-wife (Susan Blakely), truck driver Lincoln Hawk (Sylvester Stallone) tries to reconnect with his son Mike after a ten year absence. The grandfather Jason Cutler (Robert Loggia) had put the boy in military school and prevented Lincoln from contacting him. Lincoln is a legendary arm wrestling champ and a struggling truck driver. The grandfather works to gain custody after his daughter death. I don't like the kid. A bratty kid is a well accepted trope but one that has never been my favorite. It's not like he's cute either. Annoying cute kids can be funny. This kid is basic annoyance. Stallone is restricted in their relationship. I'm not loving him either. It's unreasonable for him to crash his truck through the gate. He hasn't shown himself to be a violent man. It would be better if the guards start a fight which he ends by crashing his truck. It muddles up the moral superior position. It's also pretty cheesy although some may find some fun with the cheese. If you're one, then enjoy."
Ocean's Thirteen,6,1,1,30 May 2014," At least they're back in Vegas
","This one starts with Reuben Tishkoff (Elliott Gould) in the hospital with everybody coming together around him. Then it goes back 4 weeks earlier. Reuben was afraid of being old and tried to build a hotel with Willy Bank (Al Pacino). Only he got double crossed by Bank and suffered a heart attack. Six months later, the hotel is finished and Bank is looking to get a five diamond award for his hotel. The gang comes up with a plan uniting with old enemy Terry Benedict (Andy Garcia) to take revenge by taking away his hotel.Steven Soderbergh and the gang have returned. The good news is that they're back in Vegas where this franchise belongs. The plan is as convoluted as ever. It's slightly better than Twelve, but the original excitement can never be recapture. This is more star gazing than anything else."
Lost in Translation,8,1,1,4 September 2015," wonderful and beautiful
",Faded movie star Bob Harris (Bill Murray) is in Tokyo to shot whiskey commercials. He's getting $2 million to endorse the whiskey. He's married for 25 years with kids. Charlotte (Scarlett Johansson) is in Tokyo with her photographer husband John (Giovanni Ribisi) of 2 years. He's constant working and she feels lost. She's a recent philosophy graduate. She finds a fellow lost soul in Bob at the hotel bar. They both have difficulty sleeping.Sofia Coppola made a gentle beautiful movie. Scarlett is dressed down a little and she looks gorgeous. Then there is Bill Murray. He's having some fun and making little wisecracks. It's not anything terribly big. I love the hospital scene mostly because of the two Japanese women behind him. It is surprising how much of the movie is the two leads apart. They work well together.
Tangled,7,2,5,16 March 2014," Nice little story
","Gothel uses a magical flower to remain young. The king's men discovers the flower and uses it to cure the sick pregnant queen. The queen recovers to give birth to Rapunzel with the golden hair. Rapunzel's hair turns out to have the same property as the flower. Gothel kidnaps Rapunzel raising her as her own daughter, keeping her hidden away in a tower, and using her hair to keep young. The king and queen launch lighted floating lanterns every year on the baby's birthday. As she grows into a teenager, Rapunzel pines for the outside world. Bandit Flynn Ryder is on the run from the authorities. He tries to hide in the tower, and Rapunzel hits him with a frying pan. She makes a deal to release him if he guides her to the floating lights that she sees on her birthday every year.I like the story, and I like the two lead characters. They're cute and funny together. The animation looks pretty. I just wish they have a comedic third wheel that isn't a voiceless chameleon. I wish they have a good comedian to bring some outlandish joking around. I also wish the tunes were catchier. Little kids should be singing it in the car to annoy the parents. They've got a singer in Mandy Moore, but they don't have a good song for her to sing. Nevertheless, it's pretty fun little comedy."
Doctor Strange,8,5,7,6 May 2017," solid introduction
","New York neurosurgeon Doctor Stephen Strange (Benedict Cumberbatch) is brilliant and arrogant. His only friend is ex-love ER doctor Christine Palmer (Rachel McAdams). He gets into a car wreck damaging his hands. He is told about Jonathan Pangborn (Benjamin Bratt) who recovered from unrecoverable spinal damage. He is directed to Kamar-Taj. He finds The Ancient One (Tilda Swinton) and Master Mordo (Chiwetel Ejiofor) who teach him about the astral plane and the infinite dimensions. Kaecilius (Mads Mikkelsen) is a former disciple of the Ancient One and has fallen under the influence of Dormammu of the Dark Dimension.This is the latest of the Marvel Cinematic Universe. Dr. Strange adds the strange side to the comic book franchise. Cumberbatch fills out the role. Every role is well cast. Even Tilda Swinton seems fitting in the otherworldly role. The CGI is brilliant. It is Inception plus. The battles are compelling without being confusing. Surprisingly, there is also humor. This is a solid addition to the MCU."
We Are Marshall,6,1,1,25 January 2015," more of a tribute
","It's 1970. After a tough lose, the Marshall University football team is returning home to Huntington, W.V. The plane crashes killing everyone on board. Injured Nate Ruffin (Anthony Mackie) didn't play and Red Dawson (Matthew Fox) takes a last-minute recruiting trip. Both misses the plane ride and survives. Cheerleader Annie Cantrell (Kate Mara) loses her boyfriend. The next spring, the town is struggling and football is about to be suspended. Ruffin rallies the students. President Don Dedman (David Strathairn) struggles to find anyone to coach and Jack Lengyel (Matthew McConaughey) applies out of the nowhere.Director McG is more restraint visually than normal although he isn't pulling anything back with the sentimental melodrama. This is all played with every heart string at the highest note filled with every cliché. Considering the subject, there is probably no other way to make this. My one main complaint is that the movie needs one lead character to focus on. However, I also do understand the need to spread the commiseration around. The acting is solid and flamboyant McConaughey injects a bit of energy. The film has that sepia tone to heighten the 70s look and McG fills it with era music. The movie is a fully formed tribute but not necessarily a great movie."
Barry Lyndon,5,3,9,24 February 2015," beautiful and slow
","It's the 18th Century Ireland. Redmond Barry's father is killed in a duel over a horse. Barry (Ryan O'Neal) falls for his cousin Nora Brady but she gets engaged to English Captain John Quin. Barry shoots him in a duel and runs away to join the army. He finds out that the duel was set up by the Brady family and Quin isn't actually dead. Barry fights in the Seven Years' War. He deserts and is later forced to join the Prussian Army. He is rewarded for saving Captain Potzdorf. He is brought in to verify if Irishman gambler Chevalier de Balibari is actually a spy. The two men escape and become gambling associates. He eventually marries the wealthy Lady Lyndon. With her wealth and his new name, he returns to England. His need to gain acceptance in high society is rebuffed by his stepson Charles. His son Bryan with Lady Lyndon dies and he is devastated.Stanley Kubrick is meticulous and masterful. Every scene is perfected to his requirements. It's a beautiful piece of art but not necessarily a compelling movie. The Michael Hordern narration keeps droning on and on. The pace is incredibly slow. Barry Lyndon is not likable or very compelling. Ryan O'Neal is mostly lifeless in this mannered costume drama. That's not to say that there isn't any drama or emotional content. The movie doesn't take full adventure of the story. The lead character just doesn't come to life. The constant dueling is a little bit funny but it doesn't do enough to excite the whole 3 hours. The last duel with Bullingdon is just terrific but it doesn't make the whole movie."
Interstellar,7,2,3,25 June 2015," some problems but a few great touches of 2001
","In the near future, Earth is devastated by blight where corn is the only surviving crop. Joseph Cooper (Matthew McConaughey) is a former astronaut pilot who has turned to farming like everybody else. He and his daughter Murph find an underground NASA site run by Dr. John Brand (Michael Caine). Brand calculates that the blight will wipe out mankind in a generation. He is working on plans to save humanity after wormholes have been discovered leading to other worlds. Coop goes on a mission with Brand's daughter Dr. Amelia Brand (Anne Hathaway), Romilly and Doyle. However the mission runs into problems of relativity and sabotage. Meanwhile Murph (Jessica Chastain) grows up and tries to finish the calculations by Brand.I have problems with the setup to this movie. The idea that everybody needs to turn into farmers seems laughable. There are all kinds of problems with the start. The blight seems to be a catch-all for Nolan to use as a tool to explain away whatever he needs. It's inelegant and clunky. Apparently, science is not necessary anymore in this world. It's not like this dystopian world has run out of oil. A lot of it seems unlikely.Once McConaughey goes up into space, the movie gets better. It has touches of 2001 but generally, it is more like 2010. There are still some problems with unlikely human reactions. The whole conflict between Tom and Murph seems overblown. It's trying to up the drama without setting it up properly. I like McConaughey's side of the story. I would have preferred to stay mostly with him and lose some of Chastain's. I'm afraid the time relativity ideas may be lost on some of the audience. Even the best parts of the movie do have some nagging questions. It is still an awesome movie despite its problems. Although, I thought he might turn into a space baby at the end."
Full Metal Jacket,9,0,1,29 May 2015," one of the most compelling war movies
","In Parris Island, South Carolina, a group of raw recruits are brought in to be trained by the hard-nosed Marine Gunnery Sergeant Hartman. Joker (Matthew Modine) tries to help the slow Leonard Lawrence (Vincent D'Onofrio) which comes to a sad end. The second half starts with Joker in Da Nang working as a reporter for Stars and Stripes. Then the Tet offensive happens and Joker goes out to report. He's reunited with Cowboy (Arliss Howard) who is leading a rifle squad.The first half is anchored by the great performances of R. Lee Ermey and Vincent D'Onofrio. They are incredible. The second half is the war. Matthew Modine leads competently but it is the mesmerizing directions from Stanley Kubrick. It is always The Trashmen's Surfin' Bird that comes to mind first. It's impossible to lose interest during the second half. Some people may want it to be more obviously anti-war. It is not quite so blatant. It is murky just like what I imagine the Vietnam experience actually was. The long uncut scenes impart an immersive feel. It is one of the most compelling extended war sequence."
"Three Billboards Outside Ebbing, Missouri",6,5,7,18 March 2018," so many issues
","In the town of Ebbing, Missouri, Mildred Hayes (Frances McDormand) rents three billboards on an isolated road to berate police chief Willoughby (Woody Harrelson) for his failure to find her daughter's killer. Willoughby is actually dying from cancer and the town ostracizes her. Dixon (Sam Rockwell) is a volatile racist deputy living with his overbearing mother.British Irish filmmaker Martin McDonagh tackles Americana. He has incorporated plenty of American issues but it's done as an outsider looking in. I wonder if Rockwell starts his performing with an American director, he wouldn't be told to take it a different way. His action in the middle of the movie is absolutely crazy. The aftermath needs more expanding rather than a simple firing. I can't believe that he's not locked up. Then his character takes a 180 turn as the movie climaxes. He leaves the movie a two dimensional billboard rather than a fully formed human character. I am much more impressed with Mildred, Willoughby, and their connection. McDormand delivers a driven character of the first order and Harrelson is more human in his reservation. There is real power behind their performances whereas Rockwell is doing a cartoon. I am surprised at its critical love. Some of this is funny and there are plenty of intriguing characters. The issues are so important that I can't take this as satire. I have issues."
The Grapes of Wrath,9,1,1,31 December 2015," American icon
","Tom Joad (Henry Fonda) hitchhikes back to his family's farm in Oklahoma after getting released from prison. He finds his family gone after the landowner kicked out all the small farmers moving in the bulldozers and tractors. He and ex-preacher Jim Casy (John Carradine) go to his uncle John's place. The Joad family decides to travel to California. It's a long arduous journey.This John Ford epic is an American classic. It has some funny moments, tough social injustices and loads of heart-breaking stories. Ford delivers some beautiful destitution. It is more the human story that is so powerful. Henry Fonda does a great everyman which allows the audience to feel for the family right away."
Star Wars: Episode IX - The Rise of Skywalker,6,8,18,27 December 2019," wrap it up and move on
","The Empire is in chaos. There is a pretender on the throne. A new rebellion is banished to the Outer Rim. The Empire is re-establishing control with yet another Order. At least, it's not another Death Star. It's Disney Plus spaceships with guns. The Mouse Empire muddles on. The new trilogy is simply not planned out. That is its major flaw above all else. This final chapter tries to take back a few story elements and wrap up the story with a bow. It is not to be dissected for plot holes or logic flaws. It rushes to push the franchise across the finish line. It works to some extend and it doesn't cause any more major troubles. Most fans would probably be satisfied with reaching the finish line and not having any more movies for awhile.Nobody is a somebody. A shocking reveal happens and it barely clears the bar. There are plenty of problems and an Orphan Black situation. Like many elements in this movie, one should not think too hard about it. Remember Tom Cruise's War of the Worlds. This one does something even crazier with its spaceships. This is the stupidest part of the plot but let's roll our eyes and move on. The plot is basically getting the MacGuffin to get another MacGuffin. The film is running on double time and the speed seems to be used to hide from story questions. Everybody is rushing. History is being revised. No one is throwing away a light saber in this one. Finn never actually say the thing to Rey. It is emotionally safe. I thought they would keep Carrie Fisher in the first act but they dragged her out there for too long. I won't say that it's disrespectful but it is a little awkward. Overall, this one tries to quickly wrap up the story in a fan friendly way and the last person turns out the lights."
Pacific Rim,8,1,5,27 December 2013," Fun Robots fighting Monsters
","A trans-world rip at the bottom of the Pacific Ocean has allowed monsters, named Kaiju, to come into our world. After tremendous losses, the world got together to build massive robots called Jaegers. However, the monsters keep coming, faster and bigger. Now the Jaegers are stretched to the limit with resources being diverted to building a wall.Director Guillermo del Toro is having a lot of boyhood fun with robots battling monsters. It doesn't get more childhood fun than this. The designs are beautiful and original with both the robots and monsters. There is nothing more youth affirming than playing with these toys. The characters are solid with interesting actors like Charlie Hunnam and Idris Elba. Coming into this, I feared the story would be too silly or convoluted. The story makes perfect sense and the action cannot be beat."
Empire of the Sun,7,0,3,1 September 2015," well made Spielberg
","While Japan is conquering China, foreigners live in the Shanghai International Settlement oblivious to the suffering. Jamie Graham (Christian Bale) is a spoiled British upper class schoolboy. In the chaos of the Japanese taking Shanghai, Jamie's parents lose him in the crowd. He goes home to find his servants stealing the valuables. He is found by Basie (John Malkovich) and Frank Demarest (Joe Pantoliano) who are also stranded in Shanghai. He is taken to an assembly center along with Basie who teaches him how to survive. In the camp, Jamie lives with the Victors.Spielberg is a master of a child's wonderment. That's what he does here. Despite the movie's subject matter, it never gets to be truly disturbing or ugly. He always pulls back a little earning its PG rating. Jamie can be an annoying spoiled brat. At times, he seems to be deliberately dense. Christian Bale does an amazing acting job. It is a wonderfully shot movie. Although it may not get the perfect sense of the reality."
American Sniper,7,4,16,8 December 2015," skillfully made by Eastwood
","Chris Kyle (Bradley Cooper) and his brother are raised by their hard-nosed father to be sheepdogs defending against the wolves of the world. They are weekend rodeo cowboys. After watching the African embassies bombings, Chris signs up for the SEALs and meets Taya Renae (Sienna Miller) at a bar. They get married and he goes off to Iraq as a sniper. On his first tour in Falluja, he kills a kid with a grenade. He returns on multiple tours and facing a skilled Olympian sniper called Mustafa.The war action is quite tense. Clint Eastwood's years of experience have laid the foundations. This is skillfully made despite the fake baby. The biggest pet peeve is these guys chatting on patrol which obviously leads to an explosive attack. It's a bit of a trope. Chris' private life is well shown but his closed off nature is not always the most compelling drama. It also hits a little too much on the head sometimes. For example, he's talking to Taya on the phone when a battle explodes around him. It's an interesting but overwrought scene when it happens the first time but the movie returns to the well again. This is a very much heroic portrait which may annoy certain people. As a movie, it mostly works well."
